avg_quiz_score,experience_years,quizzes_taken,role_similarity,actual_match
55,1,2,0,0
38.2,0,3,0,25
34.3,0,4,0,38
30.9,0,4,50,13
44.1,1,3,50,38
45.4,1,4,0,25
23.4,2,3,0,38
49.1,0,4,50,50
31.3,1,4,50,38
26.3,2,4,0,25
37.8,1,3,0,25
33.2,2,4,0,25
44.6,2,3,0,38
49.3,1,4,50,25
29.9,2,3,50,25
25.1,2,4,0,50
26.2,2,3,0,25
43.9,0,4,50,38
42.3,1,4,50,50
45.2,1,3,0,25
49.9,2,3,0,25
44.2,2,4,0,13
38.8,2,4,0,50
56.8,2,4,50,38
30,0,3,50,50
29.4,0,3,0,25
40.2,1,4,0,25
45.3,2,4,50,38
50.3,0,4,50,50
38.8,1,3,0,38
26.3,1,4,0,38
48.8,0,3,0,25
42.8,0,4,0,25
41.8,2,3,50,13
31.9,2,4,50,25
30.9,2,3,0,50
54.2,1,4,0,13
34.6,0,3,50,50
44,0,3,50,50
53.4,2,3,0,38
32.4,0,4,0,25
32.2,1,4,0,25
48.6,0,4,0,38
45.3,0,3,50,25
28.3,0,4,50,25
48.6,1,4,0,50
50.8,1,4,0,25
53.6,0,3,50,50
46.5,2,3,50,50
55.8,0,4,0,25
40.5,1,4,0,50
32.4,1,3,0,38
41,2,3,0,25
41.1,2,4,50,25
36.7,1,3,50,25
50.6,2,3,0,50
41.2,0,4,0,25
25.1,1,3,50,50
43.5,0,4,50,50
25.6,2,4,0,13
41.7,0,4,0,25
44.8,1,3,0,25
38.3,0,4,0,50
36.2,1,4,50,25
48.9,0,3,50,50
40.2,0,4,0,50
31.8,2,3,0,25
36.3,2,3,50,50
27.1,0,3,50,25
52.5,0,3,0,25
44.8,2,3,0,38
39.1,1,3,0,13
29.8,1,4,0,25
52.1,2,3,50,38
40.6,0,4,50,25
48.9,2,4,0,38
41.7,1,3,0,13
52.8,2,4,50,38
29,1,4,50,50
32.3,0,4,0,25
34,2,3,0,38
40.1,2,4,0,25
48.4,0,3,0,50
33.1,2,4,50,25
27.6,1,4,50,50
36.2,1,4,0,25
43,0,4,0,25
51.5,1,3,50,38
35.5,1,3,50,25
47.6,0,3,0,13
35.6,0,4,0,38
61,7,4,100,75
42.6,4,4,33,63
61.3,7,4,100,63
70.5,5,5,50,63
54,6,5,100,63
57.5,6,4,0,38
72.1,7,4,100,75
74,4,4,100,63
54.7,7,5,100,50
71.3,6,4,50,38
58.6,5,5,100,63
48.1,7,4,50,50
66.9,5,5,50,63
54.4,4,5,50,50
57.5,6,4,100,63
76.7,6,5,100,75
49.9,4,5,33,38
66.6,6,4,100,63
65.9,3,4,50,63
70.7,3,4,100,75
49,3,4,0,38
55.4,5,5,100,75
52.2,6,5,100,50
71.4,3,5,100,75
62.6,7,4,50,38
56.6,4,4,100,50
56.1,4,4,50,75
72.2,6,5,50,63
61.4,4,4,50,75
71.2,4,5,100,50
66.1,4,5,100,75
66.4,6,4,33,50
52,6,5,100,63
